Earliest Specimen Collection Date,County,Deaths,Deaths (7-Day Average),7-Day Death Count,7-Day Death Rate,Date/Time Updated
2020-06-09 00:00:00,Statewide,7,5.43,38,0.5,2022-04-25 11:33:14
2020-06-10 00:00:00,Statewide,6,5.43,38,0.5,2022-04-25 11:33:14
2020-06-11 00:00:00,Statewide,13,6.71,47,0.61,2022-04-25 11:33:14
2020-06-12 00:00:00,Statewide,4,6.43,45,0.59,2022-04-25 11:33:14
2020-06-13 00:00:00,Statewide,7,6.71,47,0.61,2022-04-25 11:33:14
2020-06-14 00:00:00,Statewide,4,6.86,48,0.63,2022-04-25 11:33:14
2020-06-15 00:00:00,Statewide,12,7.57,53,0.69,2022-04-25 11:33:14
2020-06-16 00:00:00,Statewide,11,8.14,57,0.74,2022-04-25 11:33:14
2020-06-17 00:00:00,Statewide,5,8,56,0.73,2022-04-25 11:33:14
2020-06-18 00:00:00,Statewide,10,7.57,53,0.69,2022-04-25 11:33:14
2020-06-19 00:00:00,Statewide,6,7.86,55,0.72,2022-04-25 11:33:14
2020-06-20 00:00:00,Statewide,5,7.57,53,0.69,2022-04-25 11:33:14
2020-06-21 00:00:00,Statewide,5,7.71,54,0.71,2022-04-25 11:33:14
2020-06-22 00:00:00,Statewide,14,8,56,0.73,2022-04-25 11:33:14
2020-06-23 00:00:00,Statewide,2,6.71,47,0.61,2022-04-25 11:33:14
2020-06-24 00:00:00,Statewide,10,7.43,52,0.68,2022-04-25 11:33:14
2020-06-25 00:00:00,Statewide,6,6.86,48,0.63,2022-04-25 11:33:14
2020-06-26 00:00:00,Statewide,8,7.14,50,0.65,2022-04-25 11:33:14
2020-06-27 00:00:00,Statewide,7,7.43,52,0.68,2022-04-25 11:33:14
2020-06-28 00:00:00,Statewide,5,7.43,52,0.68,2022-04-25 11:33:14
2020-06-29 00:00:00,Statewide,12,7.14,50,0.65,2022-04-25 11:33:14
2020-06-30 00:00:00,Statewide,18,9.43,66,0.86,2022-04-25 11:33:14
2020-07-01 00:00:00,Statewide,7,9,63,0.82,2022-04-25 11:33:14
2020-07-02 00:00:00,Statewide,11,9.71,68,0.89,2022-04-25 11:33:14
2020-07-03 00:00:00,Statewide,2,8.86,62,0.81,2022-04-25 11:33:14
2020-07-04 00:00:00,Statewide,4,8.43,59,0.77,2022-04-25 11:33:14
2020-07-05 00:00:00,Statewide,9,9,63,0.82,2022-04-25 11:33:14
2020-07-06 00:00:00,Statewide,10,8.71,61,0.8,2022-04-25 11:33:14
2020-07-07 00:00:00,Statewide,13,8,56,0.73,2022-04-25 11:33:14
2020-07-08 00:00:00,Statewide,8,8.14,57,0.74,2022-04-25 11:33:14
2020-07-09 00:00:00,Statewide,15,8.71,61,0.8,2022-04-25 11:33:14
2020-07-10 00:00:00,Statewide,5,9.14,64,0.84,2022-04-25 11:33:14
2020-07-11 00:00:00,Statewide,7,9.57,67,0.88,2022-04-25 11:33:14
2020-07-12 00:00:00,Statewide,11,9.86,69,0.9,2022-04-25 11:33:14
2020-07-13 00:00:00,Statewide,21,11.43,80,1.04,2022-04-25 11:33:14
2020-07-14 00:00:00,Statewide,11,11.14,78,1.02,2022-04-25 11:33:14
2020-07-15 00:00:00,Statewide,10,11.43,80,1.04,2022-04-25 11:33:14
2020-07-16 00:00:00,Statewide,11,10.86,76,0.99,2022-04-25 11:33:14
2020-07-17 00:00:00,Statewide,25,13.71,96,1.25,2022-04-25 11:33:14
2020-07-18 00:00:00,Statewide,11,14.29,100,1.31,2022-04-25 11:33:14
2020-07-19 00:00:00,Statewide,15,14.86,104,1.36,2022-04-25 11:33:14
2020-07-20 00:00:00,Statewide,13,13.71,96,1.25,2022-04-25 11:33:14
2020-07-21 00:00:00,Statewide,19,14.86,104,1.36,2022-04-25 11:33:14
2020-07-22 00:00:00,Statewide,20,16.29,114,1.49,2022-04-25 11:33:14
2020-07-23 00:00:00,Statewide,12,16.43,115,1.5,2022-04-25 11:33:14
2020-07-24 00:00:00,Statewide,3,13.29,93,1.21,2022-04-25 11:33:14
2020-07-25 00:00:00,Statewide,5,12.43,87,1.14,2022-04-25 11:33:14
2020-07-26 00:00:00,Statewide,5,11,77,1.01,2022-04-25 11:33:14
2020-07-27 00:00:00,Statewide,23,12.43,87,1.14,2022-04-25 11:33:14
2020-07-28 00:00:00,Statewide,19,12.43,87,1.14,2022-04-25 11:33:14
2020-07-29 00:00:00,Statewide,14,11.57,81,1.06,2022-04-25 11:33:14
2020-07-30 00:00:00,Statewide,15,12,84,1.1,2022-04-25 11:33:14
2020-07-31 00:00:00,Statewide,15,13.71,96,1.25,2022-04-25 11:33:14
2020-08-01 00:00:00,Statewide,8,14.14,99,1.29,2022-04-25 11:33:14
2020-08-02 00:00:00,Statewide,3,13.86,97,1.27,2022-04-25 11:33:14
2020-08-03 00:00:00,Statewide,12,12.29,86,1.12,2022-04-25 11:33:14
2020-08-04 00:00:00,Statewide,16,11.86,83,1.08,2022-04-25 11:33:14
2020-08-05 00:00:00,Statewide,12,11.57,81,1.06,2022-04-25 11:33:14
2020-08-06 00:00:00,Statewide,9,10.71,75,0.98,2022-04-25 11:33:14
2020-08-07 00:00:00,Statewide,8,9.71,68,0.89,2022-04-25 11:33:14
2020-08-08 00:00:00,Statewide,8,9.71,68,0.89,2022-04-25 11:33:14
2020-08-09 00:00:00,Statewide,6,10.14,71,0.93,2022-04-25 11:33:14
2020-08-10 00:00:00,Statewide,3,8.86,62,0.81,2022-04-25 11:33:14
2020-08-11 00:00:00,Statewide,12,8.29,58,0.76,2022-04-25 11:33:14
2020-08-12 00:00:00,Statewide,9,7.86,55,0.72,2022-04-25 11:33:14
2020-08-13 00:00:00,Statewide,1,6.71,47,0.61,2022-04-25 11:33:14
2020-08-14 00:00:00,Statewide,7,6.57,46,0.6,2022-04-25 11:33:14
2020-08-15 00:00:00,Statewide,2,5.71,40,0.52,2022-04-25 11:33:14
2020-08-16 00:00:00,Statewide,6,5.71,40,0.52,2022-04-25 11:33:14
2020-08-17 00:00:00,Statewide,12,7,49,0.64,2022-04-25 11:33:14
2020-08-18 00:00:00,Statewide,13,7.14,50,0.65,2022-04-25 11:33:14
2020-08-19 00:00:00,Statewide,10,7.29,51,0.67,2022-04-25 11:33:14
2020-08-20 00:00:00,Statewide,2,7.43,52,0.68,2022-04-25 11:33:14
2020-08-21 00:00:00,Statewide,5,7.14,50,0.65,2022-04-25 11:33:14
2020-08-22 00:00:00,Statewide,5,7.57,53,0.69,2022-04-25 11:33:14
2020-08-23 00:00:00,Statewide,1,6.86,48,0.63,2022-04-25 11:33:14
2020-08-24 00:00:00,Statewide,6,6,42,0.55,2022-04-25 11:33:14
2020-08-25 00:00:00,Statewide,5,4.86,34,0.44,2022-04-25 11:33:14
2020-08-26 00:00:00,Statewide,9,4.71,33,0.43,2022-04-25 11:33:14
2020-08-27 00:00:00,Statewide,9,5.71,40,0.52,2022-04-25 11:33:14
2020-08-28 00:00:00,Statewide,5,5.71,40,0.52,2022-04-25 11:33:14
